Context,Word,Probability
        [MASK],Als,2.7613779820967466e-05
       Als [MASK],sie,0.00016592723841313273
      Als sie [MASK],mit,0.004253321792930365
     Als sie mit [MASK],dem,0.015573556534945965
    Als sie mit dem [MASK],geheimnisvollen,5.928995392423531e-07
   Als sie mit dem geheimnisvollen [MASK],Brief,0.0015238666674122214
  Als sie mit dem geheimnisvollen Brief [MASK],,6.711540481774136e-05
 Als sie mit dem geheimnisvollen Brief  [MASK],in,0.0005057866801507771
Als sie mit dem geheimnisvollen Brief  in [MASK],der,0.011918473988771439
sie mit dem geheimnisvollen Brief  in der [MASK],Hand,0.10508901625871658
mit dem geheimnisvollen Brief  in der Hand [MASK],draussen,1.9454876110103214e-06
dem geheimnisvollen Brief  in der Hand draussen [MASK],auf,0.00013570049486588687
geheimnisvollen Brief  in der Hand draussen auf [MASK],dem,0.0023034524638205767
Brief  in der Hand draussen auf dem [MASK],Kiesweg,3.335637302370742e-05
 in der Hand draussen auf dem Kiesweg [MASK],stand,0.00045772400335408747
in der Hand draussen auf dem Kiesweg stand [MASK],,2.097690639857319e-06
der Hand draussen auf dem Kiesweg stand  [MASK],überkam,9.789755858946592e-05
Hand draussen auf dem Kiesweg stand  überkam [MASK],sie,0.00011940600961679593
draussen auf dem Kiesweg stand  überkam sie [MASK],plötzlich,0.035512782633304596
auf dem Kiesweg stand  überkam sie plötzlich [MASK],ein,0.00021182879572734237
dem Kiesweg stand  überkam sie plötzlich ein [MASK],seltsames,0.00013921517529524863
Kiesweg stand  überkam sie plötzlich ein seltsames [MASK],Gefühl,0.06192942336201668
stand  überkam sie plötzlich ein seltsames Gefühl [MASK],,4.953672032570466e-07
 überkam sie plötzlich ein seltsames Gefühl  [MASK],Sie,2.490696942913928e-06
überkam sie plötzlich ein seltsames Gefühl  Sie [MASK],kam,6.955608841963112e-05
sie plötzlich ein seltsames Gefühl  Sie kam [MASK],sich,0.0001017034737742506
plötzlich ein seltsames Gefühl  Sie kam sich [MASK],fast,0.00015294546028599143
ein seltsames Gefühl  Sie kam sich fast [MASK],,5.0493704293330666e-06
seltsames Gefühl  Sie kam sich fast  [MASK],wie,0.001754971919581294
Gefühl  Sie kam sich fast  wie [MASK],eine,0.003740831511095166
 Sie kam sich fast  wie eine [MASK],Puppe,0.001540520926937461
Sie kam sich fast  wie eine Puppe [MASK],vor,0.023966317996382713
kam sich fast  wie eine Puppe vor [MASK],,1.0757925217319553e-08
sich fast  wie eine Puppe vor  [MASK],die,5.792806769022718e-05
fast  wie eine Puppe vor  die [MASK],durch,6.561125246662414e-06
 wie eine Puppe vor  die durch [MASK],Zauberkraft,2.7078120183432475e-05
wie eine Puppe vor  die durch Zauberkraft [MASK],,6.371849394781748e-06
eine Puppe vor  die durch Zauberkraft  [MASK],lebendig,0.000142523436807096
Puppe vor  die durch Zauberkraft  lebendig [MASK],geworden,0.018704814836382866
vor  die durch Zauberkraft  lebendig geworden [MASK],war,0.014838230796158314
 die durch Zauberkraft  lebendig geworden war [MASK],,6.952715239094687e-07
die durch Zauberkraft  lebendig geworden war  [MASK],War,1.1804333865939043e-07
durch Zauberkraft  lebendig geworden war  War [MASK],es,0.0009501871536485851
Zauberkraft  lebendig geworden war  War es [MASK],nicht,0.004777904134243727
 lebendig geworden war  War es nicht [MASK],seltsam,5.904457339056535e-06
lebendig geworden war  War es nicht seltsam [MASK],,6.619598025281448e-08
geworden war  War es nicht seltsam  [MASK],dass,5.313312612997834e-06
war  War es nicht seltsam  dass [MASK],sie,0.019043877720832825
 War es nicht seltsam  dass sie [MASK],auf,0.0007388753583654761
War es nicht seltsam  dass sie auf [MASK],der,0.0007547953864559531
es nicht seltsam  dass sie auf der [MASK],Welt,0.039253782480955124
nicht seltsam  dass sie auf der Welt [MASK],war,0.006666549481451511
seltsam  dass sie auf der Welt war [MASK],,2.477986072335625e-06
 dass sie auf der Welt war  [MASK],und,0.0009171021520160139
dass sie auf der Welt war  und [MASK],in,0.0009292176109738648
sie auf der Welt war  und in [MASK],einem,0.005186265800148249
auf der Welt war  und in einem [MASK],wunderlichen,4.3435400584712625e-05
der Welt war  und in einem wunderlichen [MASK],Märchen,0.0022634542547166348
Welt war  und in einem wunderlichen Märchen [MASK],herumlaufen,0.00015926890773698688
war  und in einem wunderlichen Märchen herumlaufen [MASK],konnte,0.017774313688278198
 und in einem wunderlichen Märchen herumlaufen konnte [MASK],,1.2461932783480734e-06
und in einem wunderlichen Märchen herumlaufen konnte  [MASK],Sherekan,1.964647289298682e-08
in einem wunderlichen Märchen herumlaufen konnte  Sherekan [MASK],,1.713030144401273e-07
einem wunderlichen Märchen herumlaufen konnte  Sherekan  [MASK],sprang,5.515452357940376e-06
