Context,Word,Probability
        [MASK],Die,0.00028329764609225094
       Die [MASK],Nachricht,0.00024043959274422377
      Die Nachricht [MASK],,2.378452154516708e-05
     Die Nachricht  [MASK],kam,0.014256621710956097
    Die Nachricht  kam [MASK],völlig,2.6172467187279835e-05
   Die Nachricht  kam völlig [MASK],überraschend,0.19753439724445343
  Die Nachricht  kam völlig überraschend [MASK],,3.086743163294159e-07
 Die Nachricht  kam völlig überraschend  [MASK],Marlene,2.4144776844536864e-08
Die Nachricht  kam völlig überraschend  Marlene [MASK],sollte,3.016544383172004e-07
Nachricht  kam völlig überraschend  Marlene sollte [MASK],in,0.0002111473586410284
 kam völlig überraschend  Marlene sollte in [MASK],den,0.01619117334485054
kam völlig überraschend  Marlene sollte in den [MASK],Vorruhestand,3.231734808650799e-05
völlig überraschend  Marlene sollte in den Vorruhestand [MASK],geschickt,0.0006148791289888322
überraschend  Marlene sollte in den Vorruhestand geschickt [MASK],werden,0.7235034108161926
 Marlene sollte in den Vorruhestand geschickt werden [MASK],,7.372937034233473e-07
Marlene sollte in den Vorruhestand geschickt werden  [MASK],weil,3.944949639844708e-06
sollte in den Vorruhestand geschickt werden  weil [MASK],die,0.00736761000007391
in den Vorruhestand geschickt werden  weil die [MASK],,7.708225724378792e-10
den Vorruhestand geschickt werden  weil die  [MASK],Versicherungsagentur,0.0005763024091720581
Vorruhestand geschickt werden  weil die  Versicherungsagentur [MASK],bei,0.0017770042177289724
geschickt werden  weil die  Versicherungsagentur bei [MASK],der,0.018505902960896492
werden  weil die  Versicherungsagentur bei der [MASK],sie,2.3969281755853444e-05
 weil die  Versicherungsagentur bei der sie [MASK],beschäftigt,0.0005013871123082936
weil die  Versicherungsagentur bei der sie beschäftigt [MASK],war,0.04583926871418953
die  Versicherungsagentur bei der sie beschäftigt war [MASK],,2.011430296988692e-06
 Versicherungsagentur bei der sie beschäftigt war  [MASK],ihren,2.052860281764879e-06
Versicherungsagentur bei der sie beschäftigt war  ihren [MASK],Standort,0.00026271803653799
bei der sie beschäftigt war  ihren Standort [MASK],in,0.002317509613931179
der sie beschäftigt war  ihren Standort in [MASK],Dortmund,0.003817719640210271
sie beschäftigt war  ihren Standort in Dortmund [MASK],aufgeben,0.0005054721841588616
beschäftigt war  ihren Standort in Dortmund aufgeben [MASK],und,0.0016515362076461315
war  ihren Standort in Dortmund aufgeben und [MASK],über,0.0003436206025071442
 ihren Standort in Dortmund aufgeben und über [MASK],hundert,0.00013162770483177155
ihren Standort in Dortmund aufgeben und über hundert [MASK],Arbeitsplätze,0.08795858919620514
Standort in Dortmund aufgeben und über hundert Arbeitsplätze [MASK],abbauen,0.000352489179931581
in Dortmund aufgeben und über hundert Arbeitsplätze abbauen [MASK],würde,0.00028147970442660153
Dortmund aufgeben und über hundert Arbeitsplätze abbauen würde [MASK],,6.384754669852555e-06
aufgeben und über hundert Arbeitsplätze abbauen würde  [MASK],Eigentlich,4.830083639717486e-07
und über hundert Arbeitsplätze abbauen würde  Eigentlich [MASK],hätte,0.0005543412989936769
über hundert Arbeitsplätze abbauen würde  Eigentlich hätte [MASK],sie,0.007027503568679094
hundert Arbeitsplätze abbauen würde  Eigentlich hätte sie [MASK],froh,0.00020731560653075576
Arbeitsplätze abbauen würde  Eigentlich hätte sie froh [MASK],sein,0.008125278167426586
abbauen würde  Eigentlich hätte sie froh sein [MASK],sollen,0.1484472006559372
würde  Eigentlich hätte sie froh sein sollen [MASK],,2.2465134463800496e-07
 Eigentlich hätte sie froh sein sollen  [MASK],denn,5.534558567887871e-06
Eigentlich hätte sie froh sein sollen  denn [MASK],die,0.0006394476513378322
hätte sie froh sein sollen  denn die [MASK],Arbeit,0.0005293985013850033
sie froh sein sollen  denn die Arbeit [MASK],fiel,2.235698730146396e-06
froh sein sollen  denn die Arbeit fiel [MASK],ihr,0.002235905732959509
sein sollen  denn die Arbeit fiel ihr [MASK],in,0.001945661148056388
sollen  denn die Arbeit fiel ihr in [MASK],letzter,0.004547009244561195
 denn die Arbeit fiel ihr in letzter [MASK],Zeit,0.07055187970399857
denn die Arbeit fiel ihr in letzter Zeit [MASK],immer,0.001062045688740909
die Arbeit fiel ihr in letzter Zeit immer [MASK],schwerer,0.6615322828292847
Arbeit fiel ihr in letzter Zeit immer schwerer [MASK],,4.898738481529108e-08
fiel ihr in letzter Zeit immer schwerer  [MASK],Jeden,2.110172943048383e-07
ihr in letzter Zeit immer schwerer  Jeden [MASK],Tag,8.339024498127401e-05
in letzter Zeit immer schwerer  Jeden Tag [MASK],kam,4.602421904564835e-05
letzter Zeit immer schwerer  Jeden Tag kam [MASK],sie,0.0009695873595774174
Zeit immer schwerer  Jeden Tag kam sie [MASK],spätnachmittags,0.013100532814860344
immer schwerer  Jeden Tag kam sie spätnachmittags [MASK],,3.3949991120607592e-06
schwerer  Jeden Tag kam sie spätnachmittags  [MASK],total,1.9832004909403622e-05
 Jeden Tag kam sie spätnachmittags  total [MASK],gestresst,7.984427270457672e-07
Jeden Tag kam sie spätnachmittags  total gestresst [MASK],und,0.0010781243909150362
Tag kam sie spätnachmittags  total gestresst und [MASK],todmüde,0.0003945781500078738
kam sie spätnachmittags  total gestresst und todmüde [MASK],nach,5.598914867732674e-05
sie spätnachmittags  total gestresst und todmüde nach [MASK],Hause,0.04843679070472717
spätnachmittags  total gestresst und todmüde nach Hause [MASK],,8.860925504450279e-07
