Context,Word,Probability
        [MASK],,1.6024438309614197e-07
        [MASK],Cat,8.400093975069467e-06
       Cat [MASK],Garcia,1.2421913197613321e-05
      Cat Garcia [MASK],,6.244272299227305e-08
     Cat Garcia  [MASK],liess,2.3350539777311496e-05
    Cat Garcia  liess [MASK],,5.79795425892371e-07
   Cat Garcia  liess  [MASK],den,0.0011898945085704327
  Cat Garcia  liess  den [MASK],Ring,0.002725933911278844
 Cat Garcia  liess  den Ring [MASK],mit,1.869220614025835e-05
Cat Garcia  liess  den Ring mit [MASK],der,5.265449362923391e-05
Garcia  liess  den Ring mit der [MASK],Reihe,0.00030297739431262016
 liess  den Ring mit der Reihe [MASK],silberner,2.9291017199284397e-05
liess  den Ring mit der Reihe silberner [MASK],Schlüssel,0.0035673079546540976
 den Ring mit der Reihe silberner Schlüssel [MASK],daran,5.325837264535949e-06
den Ring mit der Reihe silberner Schlüssel daran [MASK],,1.8431361468174146e-06
Ring mit der Reihe silberner Schlüssel daran  [MASK],vor,1.782838808139786e-05
mit der Reihe silberner Schlüssel daran  vor [MASK],der,0.0004552581231109798
der Reihe silberner Schlüssel daran  vor der [MASK],Nase,0.032522547990083694
Reihe silberner Schlüssel daran  vor der Nase [MASK],ihrer,3.8163678254932165e-05
silberner Schlüssel daran  vor der Nase ihrer [MASK],besten,7.404806819977239e-05
Schlüssel daran  vor der Nase ihrer besten [MASK],Freundin,0.42467695474624634
daran  vor der Nase ihrer besten Freundin [MASK],baumeln,8.502378818775469e-07
 vor der Nase ihrer besten Freundin baumeln [MASK],,4.261704305008607e-07
vor der Nase ihrer besten Freundin baumeln  [MASK],Willst,1.810699217230649e-07
der Nase ihrer besten Freundin baumeln  Willst [MASK],du,0.0029009461868554354
Nase ihrer besten Freundin baumeln  Willst du [MASK],oder,3.803912841249257e-05
ihrer besten Freundin baumeln  Willst du oder [MASK],soll,0.0006543954950757325
besten Freundin baumeln  Willst du oder soll [MASK],ich,0.004624222870916128
Freundin baumeln  Willst du oder soll ich [MASK],,3.9200674706307836e-08
baumeln  Willst du oder soll ich  [MASK],Sadie,2.428379275443149e-07
 Willst du oder soll ich  Sadie [MASK],Smart,6.660856342932675e-06
Willst du oder soll ich  Sadie Smart [MASK],spürte,8.503375852342288e-07
du oder soll ich  Sadie Smart spürte [MASK],,3.305210993787e-09
oder soll ich  Sadie Smart spürte  [MASK],wie,7.847721462894697e-06
soll ich  Sadie Smart spürte  wie [MASK],ihr,0.0017070794710889459
ich  Sadie Smart spürte  wie ihr [MASK],ein,7.077611371641979e-05
 Sadie Smart spürte  wie ihr ein [MASK],Schauer,6.972671826588339e-07
Sadie Smart spürte  wie ihr ein Schauer [MASK],den,6.7237178882351145e-06
Smart spürte  wie ihr ein Schauer den [MASK],Rücken,0.035952128469944
spürte  wie ihr ein Schauer den Rücken [MASK],hinablief,0.00047874494339339435
 wie ihr ein Schauer den Rücken hinablief [MASK],,1.4546171769325156e-06
wie ihr ein Schauer den Rücken hinablief  [MASK],der,4.028644525533309e-06
ihr ein Schauer den Rücken hinablief  der [MASK],nichts,3.0297378543764353e-05
ein Schauer den Rücken hinablief  der nichts [MASK],mit,0.00031156992190517485
Schauer den Rücken hinablief  der nichts mit [MASK],der,0.00021379723330028355
den Rücken hinablief  der nichts mit der [MASK],kühlen,1.1571270988497417e-05
Rücken hinablief  der nichts mit der kühlen [MASK],Novemberluft,2.2293070287560113e-05
hinablief  der nichts mit der kühlen Novemberluft [MASK],zu,0.0005565937026403844
 der nichts mit der kühlen Novemberluft zu [MASK],tun,0.9527247548103333
der nichts mit der kühlen Novemberluft zu tun [MASK],hatte,0.10249035060405731
nichts mit der kühlen Novemberluft zu tun hatte [MASK],,1.3054864211881068e-06
mit der kühlen Novemberluft zu tun hatte  [MASK],Die,3.341103138154722e-06
der kühlen Novemberluft zu tun hatte  Die [MASK],letzten,4.7948929022822995e-06
kühlen Novemberluft zu tun hatte  Die letzten [MASK],Wochen,0.04635483771562576
Novemberluft zu tun hatte  Die letzten Wochen [MASK],hatten,0.002320845378562808
zu tun hatte  Die letzten Wochen hatten [MASK],sie,0.011837308295071125
tun hatte  Die letzten Wochen hatten sie [MASK],allein,0.0005686903023160994
hatte  Die letzten Wochen hatten sie allein [MASK],auf,0.0003236440534237772
 Die letzten Wochen hatten sie allein auf [MASK],,1.6431894067636676e-08
Die letzten Wochen hatten sie allein auf  [MASK],diesen,7.964449469000101e-05
letzten Wochen hatten sie allein auf  diesen [MASK],einen,0.0003763469576369971
Wochen hatten sie allein auf  diesen einen [MASK],Moment,0.001149985590018332
hatten sie allein auf  diesen einen Moment [MASK],hingearbeitet,2.784893695206847e-06
sie allein auf  diesen einen Moment hingearbeitet [MASK],,1.9444964891590644e-06
allein auf  diesen einen Moment hingearbeitet  [MASK],den,2.4511615265510045e-05
auf  diesen einen Moment hingearbeitet  den [MASK],Moment,0.0017085642321035266
 diesen einen Moment hingearbeitet  den Moment [MASK],in,0.002885041292756796
diesen einen Moment hingearbeitet  den Moment in [MASK],dem,0.011731836013495922
einen Moment hingearbeitet  den Moment in dem [MASK],sie,0.012969228439033031
Moment hingearbeitet  den Moment in dem sie [MASK],und,0.0001291983062401414
hingearbeitet  den Moment in dem sie und [MASK],Cat,3.6050671042175964e-05
 den Moment in dem sie und Cat [MASK],,1.4307014239989257e-08
den Moment in dem sie und Cat  [MASK],zum,6.493936325568939e-06
Moment in dem sie und Cat  zum [MASK],ersten,0.002928973874077201
in dem sie und Cat  zum ersten [MASK],Mal,0.8978712558746338
dem sie und Cat  zum ersten Mal [MASK],ihre,0.0008329303236678243
sie und Cat  zum ersten Mal ihre [MASK],nigelnagelneue,3.8304642657749355e-06
und Cat  zum ersten Mal ihre nigelnagelneue [MASK],Keksbäckerei,6.370001756295096e-06
Cat  zum ersten Mal ihre nigelnagelneue Keksbäckerei [MASK],,1.265325590793509e-05
 zum ersten Mal ihre nigelnagelneue Keksbäckerei  [MASK],Smart,1.9551196601241827e-05
zum ersten Mal ihre nigelnagelneue Keksbäckerei  Smart [MASK],Cookies,0.00010426304652355611
ersten Mal ihre nigelnagelneue Keksbäckerei  Smart Cookies [MASK],,8.08539255103824e-07
Mal ihre nigelnagelneue Keksbäckerei  Smart Cookies  [MASK],betreten,0.0013034481089562178
ihre nigelnagelneue Keksbäckerei  Smart Cookies  betreten [MASK],würden,0.00038861139910295606
nigelnagelneue Keksbäckerei  Smart Cookies  betreten würden [MASK],,1.0141653547179885e-05
Keksbäckerei  Smart Cookies  betreten würden  [MASK],Es,7.828066372894682e-07
 Smart Cookies  betreten würden  Es [MASK],war,0.00038820161717012525
Smart Cookies  betreten würden  Es war [MASK],ein,0.0001704320457065478
Cookies  betreten würden  Es war ein [MASK],Traum,0.015255287289619446
 betreten würden  Es war ein Traum [MASK],,2.2890365016792202e-06
betreten würden  Es war ein Traum  [MASK],der,0.00010001567716244608
würden  Es war ein Traum  der [MASK],sie,3.4339602734689834e-06
 Es war ein Traum  der sie [MASK],seit,2.4741788365645334e-05
Es war ein Traum  der sie seit [MASK],der,0.0005837589269503951
war ein Traum  der sie seit der [MASK],Schulzeit,0.004833125974982977
ein Traum  der sie seit der Schulzeit [MASK],verband,0.001488066860474646
Traum  der sie seit der Schulzeit verband [MASK],,3.458301944192499e-05
 der sie seit der Schulzeit verband  [MASK],ein,2.0561899873428047e-05
der sie seit der Schulzeit verband  ein [MASK],eigenes,0.02725512906908989
sie seit der Schulzeit verband  ein eigenes [MASK],Geschäft,0.0058137415908277035
seit der Schulzeit verband  ein eigenes Geschäft [MASK],,1.5427034441017895e-06
der Schulzeit verband  ein eigenes Geschäft  [MASK],das,3.243785977247171e-05
Schulzeit verband  ein eigenes Geschäft  das [MASK],,7.074307362131549e-09
verband  ein eigenes Geschäft  das  [MASK],Cats,4.980209268978797e-06
 ein eigenes Geschäft  das  Cats [MASK],,1.9285516827949323e-06
ein eigenes Geschäft  das  Cats  [MASK],Backliebe,0.0001056987966876477
eigenes Geschäft  das  Cats  Backliebe [MASK],,3.930048933398211e-06
Geschäft  das  Cats  Backliebe  [MASK],und,0.0003198641643393785
 das  Cats  Backliebe  und [MASK],Sadies,3.5860953175870236e-06
das  Cats  Backliebe  und Sadies [MASK],künstlerisches,3.142965283586818e-07
 Cats  Backliebe  und Sadies künstlerisches [MASK],Talent,0.24478065967559814
Cats  Backliebe  und Sadies künstlerisches Talent [MASK],,3.293590634712018e-05
 Backliebe  und Sadies künstlerisches Talent  [MASK],zusammenbrachte,0.0022663730196654797
Backliebe  und Sadies künstlerisches Talent  zusammenbrachte [MASK],,4.030552531730791e-07
 und Sadies künstlerisches Talent  zusammenbrachte  [MASK],Und,4.1380076254426967e-07
und Sadies künstlerisches Talent  zusammenbrachte  Und [MASK],es,0.0005070889601483941
Sadies künstlerisches Talent  zusammenbrachte  Und es [MASK],konnte,0.002462646458297968
künstlerisches Talent  zusammenbrachte  Und es konnte [MASK],kaum,0.001993120415136218
Talent  zusammenbrachte  Und es konnte kaum [MASK],einen,5.7728295359993353e-05
 zusammenbrachte  Und es konnte kaum einen [MASK],besseren,0.0023962545674294233
zusammenbrachte  Und es konnte kaum einen besseren [MASK],Ort,0.0006035817787051201
 Und es konnte kaum einen besseren Ort [MASK],für,0.00025355422985740006
Und es konnte kaum einen besseren Ort für [MASK],ihren,0.0004492397129070014
es konnte kaum einen besseren Ort für ihren [MASK],Laden,0.0005825366242788732
konnte kaum einen besseren Ort für ihren Laden [MASK],geben,0.0007604524143971503
kaum einen besseren Ort für ihren Laden geben [MASK],,8.077212214629981e-07
einen besseren Ort für ihren Laden geben  [MASK],als,2.177914575440809e-05
besseren Ort für ihren Laden geben  als [MASK],den,0.00024261383805423975
Ort für ihren Laden geben  als den [MASK],schrulligen,3.164390363963321e-06
für ihren Laden geben  als den schrulligen [MASK],Platz,0.00013541350199375302
ihren Laden geben  als den schrulligen Platz [MASK],,4.254372470313683e-05
Laden geben  als den schrulligen Platz  [MASK],Castle,1.636176421015989e-06
geben  als den schrulligen Platz  Castle [MASK],Court,1.1708262718457263e-05
 als den schrulligen Platz  Castle Court [MASK],,3.74720372064985e-07
als den schrulligen Platz  Castle Court  [MASK],im,0.00018949464720208198
den schrulligen Platz  Castle Court  im [MASK],Herzen,0.0036990325897932053
schrulligen Platz  Castle Court  im Herzen [MASK],ihrer,0.0008689191890880466
Platz  Castle Court  im Herzen ihrer [MASK],Traum,3.0135213364701485e-06
 Castle Court  im Herzen ihrer Traum [MASK],,2.483897887373132e-08
Castle Court  im Herzen ihrer Traum  [MASK],Eine,4.6205741455196403e-07
Court  im Herzen ihrer Traum  Eine [MASK],Oase,1.695488390396349e-05
 im Herzen ihrer Traum  Eine Oase [MASK],inmitten,0.0005404535913839936
im Herzen ihrer Traum  Eine Oase inmitten [MASK],der,0.01365642435848713
Herzen ihrer Traum  Eine Oase inmitten der [MASK],alten,5.5673001043032855e-05
ihrer Traum  Eine Oase inmitten der alten [MASK],holprigen,7.089645919222676e-07
Traum  Eine Oase inmitten der alten holprigen [MASK],Strassen,0.00033421613625250757
 Eine Oase inmitten der alten holprigen Strassen [MASK],des,4.0022856410359964e-05
Eine Oase inmitten der alten holprigen Strassen des [MASK],Einkaufsviertels,0.0001965580740943551
Oase inmitten der alten holprigen Strassen des Einkaufsviertels [MASK],,7.60953189455904e-05
inmitten der alten holprigen Strassen des Einkaufsviertels  [MASK],The,1.1471388461359311e-05
der alten holprigen Strassen des Einkaufsviertels  The [MASK],Rows,6.135925650596619e-05
alten holprigen Strassen des Einkaufsviertels  The Rows [MASK],,1.3063853998573904e-08
holprigen Strassen des Einkaufsviertels  The Rows  [MASK],Während,3.0779605708630697e-07
Strassen des Einkaufsviertels  The Rows  Während [MASK],sie,8.839328984322492e-06
des Einkaufsviertels  The Rows  Während sie [MASK],das,0.006605640519410372
Einkaufsviertels  The Rows  Während sie das [MASK],Schild,0.003978488501161337
 The Rows  Während sie das Schild [MASK],,0.00012939810403622687
The Rows  Während sie das Schild  [MASK],mit,0.0004366521898191422
Rows  Während sie das Schild  mit [MASK],den,0.000621289131231606
 Während sie das Schild  mit den [MASK],blauen,0.000351257884176448
Während sie das Schild  mit den blauen [MASK],und,0.0007127748685888946
sie das Schild  mit den blauen und [MASK],goldenen,0.25838297605514526
das Schild  mit den blauen und goldenen [MASK],Wirbeln,1.7506580434201169e-06
Schild  mit den blauen und goldenen Wirbeln [MASK],über,0.00025577767519280314
 mit den blauen und goldenen Wirbeln über [MASK],der,0.0006190109997987747
mit den blauen und goldenen Wirbeln über der [MASK],Tür,0.001716997125186026
den blauen und goldenen Wirbeln über der Tür [MASK],betrachtete,6.158150063129142e-05
blauen und goldenen Wirbeln über der Tür betrachtete [MASK],,7.522158540496093e-08
und goldenen Wirbeln über der Tür betrachtete  [MASK],das,0.0004131088498979807
goldenen Wirbeln über der Tür betrachtete  das [MASK],sie,4.1295683331554756e-05
Wirbeln über der Tür betrachtete  das sie [MASK],selbst,0.031291414052248
über der Tür betrachtete  das sie selbst [MASK],gemalt,6.944446340639843e-06
der Tür betrachtete  das sie selbst gemalt [MASK],hatte,0.028591355308890343
Tür betrachtete  das sie selbst gemalt hatte [MASK],,7.047214580779837e-07
betrachtete  das sie selbst gemalt hatte  [MASK],erlaubte,1.016725459379586e-08
 das sie selbst gemalt hatte  erlaubte [MASK],sich,0.000566592498216778
das sie selbst gemalt hatte  erlaubte sich [MASK],Sadie,1.3663940990227275e-05
sie selbst gemalt hatte  erlaubte sich Sadie [MASK],ein,0.0006360361585393548
selbst gemalt hatte  erlaubte sich Sadie ein [MASK],kleines,0.0023177419789135456
gemalt hatte  erlaubte sich Sadie ein kleines [MASK],Lächeln,0.01179997343569994
hatte  erlaubte sich Sadie ein kleines Lächeln [MASK],,1.3918270269641653e-06
 erlaubte sich Sadie ein kleines Lächeln  [MASK],Durch,1.4228123568216233e-08
erlaubte sich Sadie ein kleines Lächeln  Durch [MASK],ihre,1.9462750060483813e-05
sich Sadie ein kleines Lächeln  Durch ihre [MASK],Hochzeit,0.0037216220516711473
Sadie ein kleines Lächeln  Durch ihre Hochzeit [MASK],,3.0335262636072002e-05
ein kleines Lächeln  Durch ihre Hochzeit  [MASK],und,0.0007222584099508822
kleines Lächeln  Durch ihre Hochzeit  und [MASK],die,0.0004452086868695915
Lächeln  Durch ihre Hochzeit  und die [MASK],Geburt,0.007510135881602764
 Durch ihre Hochzeit  und die Geburt [MASK],ihrer,0.02183680422604084
Durch ihre Hochzeit  und die Geburt ihrer [MASK],Tochter,0.6785752773284912
ihre Hochzeit  und die Geburt ihrer Tochter [MASK],Lissy,1.3679647281605867e-06
Hochzeit  und die Geburt ihrer Tochter Lissy [MASK],,3.7043773772893474e-06
 und die Geburt ihrer Tochter Lissy  [MASK],erschien,3.363061114214361e-05
und die Geburt ihrer Tochter Lissy  erschien [MASK],ihr,0.013740564696490765
die Geburt ihrer Tochter Lissy  erschien ihr [MASK],das,0.00011269667447777465
Geburt ihrer Tochter Lissy  erschien ihr das [MASK],Kunststudium,2.1537631255341694e-05
ihrer Tochter Lissy  erschien ihr das Kunststudium [MASK],inzwischen,4.089019785169512e-05
Tochter Lissy  erschien ihr das Kunststudium inzwischen [MASK],so,0.000333842501277104
Lissy  erschien ihr das Kunststudium inzwischen so [MASK],weit,0.0013106459518894553
 erschien ihr das Kunststudium inzwischen so weit [MASK],entfernt,0.004796141758561134
erschien ihr das Kunststudium inzwischen so weit entfernt [MASK],,6.419238616217626e-07
ihr das Kunststudium inzwischen so weit entfernt  [MASK],als,8.915291982702911e-05
das Kunststudium inzwischen so weit entfernt  als [MASK],hätte,7.728449418209493e-05
Kunststudium inzwischen so weit entfernt  als hätte [MASK],,3.1340625810116762e-06
inzwischen so weit entfernt  als hätte  [MASK],es,0.012167144566774368
so weit entfernt  als hätte  es [MASK],in,0.000668048916850239
weit entfernt  als hätte  es in [MASK],einem,0.008666792884469032
entfernt  als hätte  es in einem [MASK],anderen,0.006167273037135601
 als hätte  es in einem anderen [MASK],Leben,0.003957540262490511
als hätte  es in einem anderen Leben [MASK],stattgefunden,0.05562537536025047
hätte  es in einem anderen Leben stattgefunden [MASK],,1.5508521755691618e-07
 es in einem anderen Leben stattgefunden  [MASK],Es,1.8694693153520348e-06
es in einem anderen Leben stattgefunden  Es [MASK],hatte,0.0013339972356334329
in einem anderen Leben stattgefunden  Es hatte [MASK],gutgetan,0.0004999350057914853
einem anderen Leben stattgefunden  Es hatte gutgetan [MASK],,6.66647608227322e-08
anderen Leben stattgefunden  Es hatte gutgetan  [MASK],nun,6.450653927458916e-06
Leben stattgefunden  Es hatte gutgetan  nun [MASK],die,0.0001409839460393414
stattgefunden  Es hatte gutgetan  nun die [MASK],Pinsel,7.379258931905497e-06
