Context,Word,Probability
        [MASK],Nelly,2.680649413377978e-05
       Nelly [MASK],war,5.23840390087571e-05
      Nelly war [MASK],abgesehen,6.576619853149168e-07
     Nelly war abgesehen [MASK],vom,0.00010021717753261328
    Nelly war abgesehen vom [MASK],Chef,4.9566340749152005e-05
   Nelly war abgesehen vom Chef [MASK],wie,0.00022276559320744127
  Nelly war abgesehen vom Chef wie [MASK],immer,0.0025132945738732815
 Nelly war abgesehen vom Chef wie immer [MASK],die,0.00018120552704203874
Nelly war abgesehen vom Chef wie immer die [MASK],letzte,0.012430685572326183
war abgesehen vom Chef wie immer die letzte [MASK],im,0.0006413760129362345
abgesehen vom Chef wie immer die letzte im [MASK],Stirn,8.751960223207789e-08
vom Chef wie immer die letzte im Stirn [MASK],,5.47280978935305e-05
Chef wie immer die letzte im Stirn  [MASK],Gerade,3.445824745540449e-07
wie immer die letzte im Stirn  Gerade [MASK],hatte,0.0011028238805010915
immer die letzte im Stirn  Gerade hatte [MASK],sie,0.00013961120566818863
die letzte im Stirn  Gerade hatte sie [MASK],alles,1.7235573977814056e-05
letzte im Stirn  Gerade hatte sie alles [MASK],zusammengepackt,0.00016421807231381536
im Stirn  Gerade hatte sie alles zusammengepackt [MASK],,1.2529642390290974e-07
Stirn  Gerade hatte sie alles zusammengepackt  [MASK],und,0.0002921072591561824
 Gerade hatte sie alles zusammengepackt  und [MASK],war,0.00018644383817445487
Gerade hatte sie alles zusammengepackt  und war [MASK],in,0.0005222252802923322
hatte sie alles zusammengepackt  und war in [MASK],ihre,0.00011939221440115944
sie alles zusammengepackt  und war in ihre [MASK],Jacke,0.00040628077113069594
alles zusammengepackt  und war in ihre Jacke [MASK],geschlüpft,0.0002058862301055342
zusammengepackt  und war in ihre Jacke geschlüpft [MASK],,5.519165142686688e-07
 und war in ihre Jacke geschlüpft  [MASK],da,1.882809738162905e-05
und war in ihre Jacke geschlüpft  da [MASK],bat,2.0182039861538215e-06
war in ihre Jacke geschlüpft  da bat [MASK],er,0.0009823570726439357
in ihre Jacke geschlüpft  da bat er [MASK],sie,0.004457751754671335
ihre Jacke geschlüpft  da bat er sie [MASK],noch,0.0009196610772050917
Jacke geschlüpft  da bat er sie noch [MASK],einmal,0.05116375535726547
geschlüpft  da bat er sie noch einmal [MASK],zu,0.006917345803231001
 da bat er sie noch einmal zu [MASK],sich,6.889925134601071e-05
da bat er sie noch einmal zu sich [MASK],,8.621253755336511e-07
bat er sie noch einmal zu sich  [MASK],Ich,1.0479154752829345e-06
er sie noch einmal zu sich  Ich [MASK],würde,0.0006240866496227682
sie noch einmal zu sich  Ich würde [MASK],gern,0.04627300426363945
noch einmal zu sich  Ich würde gern [MASK],etwas,0.0008164155879057944
einmal zu sich  Ich würde gern etwas [MASK],mit,0.00024558775476180017
zu sich  Ich würde gern etwas mit [MASK],Ihnen,0.006147847510874271
sich  Ich würde gern etwas mit Ihnen [MASK],besprechen,0.5543704032897949
 Ich würde gern etwas mit Ihnen besprechen [MASK],begann,9.182139848462612e-08
Ich würde gern etwas mit Ihnen besprechen begann [MASK],er,0.00041640066774562
würde gern etwas mit Ihnen besprechen begann er [MASK],,1.0458418728376273e-05
gern etwas mit Ihnen besprechen begann er  [MASK],Er,4.174723017058568e-06
etwas mit Ihnen besprechen begann er  Er [MASK],stand,0.0001635825028643012
mit Ihnen besprechen begann er  Er stand [MASK],vor,0.000417311821365729
