Context,Word,Probability
        [MASK],,1.6024438309614197e-07
        [MASK],Doch,4.349356458988041e-05
       Doch [MASK],als,0.0019841648172587156
      Doch als [MASK],er,0.002529778052121401
     Doch als er [MASK],langsam,0.0015027397312223911
    Doch als er langsam [MASK],tiefer,6.72716269036755e-05
   Doch als er langsam tiefer [MASK],sank,0.0020030741579830647
  Doch als er langsam tiefer sank [MASK],,3.36269908984832e-06
 Doch als er langsam tiefer sank  [MASK],klang,1.664473984419601e-06
Doch als er langsam tiefer sank  klang [MASK],es,0.00017289236711803824
als er langsam tiefer sank  klang es [MASK],seltsam,0.0038595441728830338
er langsam tiefer sank  klang es seltsam [MASK],dumpf,4.4643497858487535e-06
langsam tiefer sank  klang es seltsam dumpf [MASK],aus,0.00037135693128220737
tiefer sank  klang es seltsam dumpf aus [MASK],ihm,3.222791201551445e-05
sank  klang es seltsam dumpf aus ihm [MASK],heraus,0.014418062753975391
 klang es seltsam dumpf aus ihm heraus [MASK],,5.541615877291406e-08
klang es seltsam dumpf aus ihm heraus  [MASK],Du,1.4552747416018974e-06
es seltsam dumpf aus ihm heraus  Du [MASK],darfst,0.0006475573754869401
seltsam dumpf aus ihm heraus  Du darfst [MASK],nicht,0.00887303240597248
dumpf aus ihm heraus  Du darfst nicht [MASK],aufgeben,0.0118984654545784
aus ihm heraus  Du darfst nicht aufgeben [MASK],,1.719035225278276e-08
ihm heraus  Du darfst nicht aufgeben  [MASK],aber,1.711280674498994e-05
heraus  Du darfst nicht aufgeben  aber [MASK],du,0.0018224401865154505
 Du darfst nicht aufgeben  aber du [MASK],bist,0.06576837599277496
Du darfst nicht aufgeben  aber du bist [MASK],nur,6.688643043162301e-05
darfst nicht aufgeben  aber du bist nur [MASK],eine,0.00045913775102235377
nicht aufgeben  aber du bist nur eine [MASK],Möwe,2.214654386989423e-06
aufgeben  aber du bist nur eine Möwe [MASK],,5.51440777485368e-08
 aber du bist nur eine Möwe  [MASK],und,0.00013298890553414822
aber du bist nur eine Möwe  und [MASK],kannst,0.012595112435519695
du bist nur eine Möwe  und kannst [MASK],über,4.9043537728721276e-05
bist nur eine Möwe  und kannst über [MASK],deine,0.0007651883061043918
nur eine Möwe  und kannst über deine [MASK],Natur,0.0003216327750124037
eine Möwe  und kannst über deine Natur [MASK],nicht,0.00019211550534237176
Möwe  und kannst über deine Natur nicht [MASK],,3.22643458616767e-08
 und kannst über deine Natur nicht  [MASK],hinaus,0.009199689142405987
und kannst über deine Natur nicht  hinaus [MASK],,7.776234767220558e-09
kannst über deine Natur nicht  hinaus  [MASK],Wärest,3.0335026934835696e-08
über deine Natur nicht  hinaus  Wärest [MASK],du,0.34927883744239807
deine Natur nicht  hinaus  Wärest du [MASK],zu,0.00031119390041567385
Natur nicht  hinaus  Wärest du zu [MASK],solchen,1.4979971638240386e-05
nicht  hinaus  Wärest du zu solchen [MASK],Flügen,1.5496725609409623e-05
 hinaus  Wärest du zu solchen Flügen [MASK],bestimmt,0.00013490652781911194
hinaus  Wärest du zu solchen Flügen bestimmt [MASK],dann,1.4406309674086515e-05
 Wärest du zu solchen Flügen bestimmt dann [MASK],hättest,4.025107773486525e-05
Wärest du zu solchen Flügen bestimmt dann hättest [MASK],du,0.0004951805458404124
du zu solchen Flügen bestimmt dann hättest du [MASK],dafür,0.00012734002666547894
zu solchen Flügen bestimmt dann hättest du dafür [MASK],Diagramme,1.8519836331165607e-08
solchen Flügen bestimmt dann hättest du dafür Diagramme [MASK],Richtlinien,9.53995709096489e-07
