Context,Word,Probability
wer war das  Das hatte sie noch [MASK],nicht,0.010333627462387085
war das  Das hatte sie noch nicht [MASK],richtig,0.00017940736142918468
das  Das hatte sie noch nicht richtig [MASK],herausgefunden,2.647584733495023e-05
 Das hatte sie noch nicht richtig herausgefunden [MASK],,6.482910208660542e-08
Das hatte sie noch nicht richtig herausgefunden  [MASK],Wenn,1.135145311081942e-08
hatte sie noch nicht richtig herausgefunden  Wenn [MASK],sie,0.024205032736063004
sie noch nicht richtig herausgefunden  Wenn sie [MASK],nun,0.0012986500514671206
noch nicht richtig herausgefunden  Wenn sie nun [MASK],anders,0.000814512895885855
nicht richtig herausgefunden  Wenn sie nun anders [MASK],hiesse,7.241718776640482e-06
richtig herausgefunden  Wenn sie nun anders hiesse [MASK],,1.4063084563531447e-07
herausgefunden  Wenn sie nun anders hiesse  [MASK],Anne,3.3803021324274596e-06
 Wenn sie nun anders hiesse  Anne [MASK],Knutsen,3.9478837265960465e-07
Wenn sie nun anders hiesse  Anne Knutsen [MASK],zum,1.4559914234268945e-05
sie nun anders hiesse  Anne Knutsen zum [MASK],Tür,7.3689687951628e-07
nun anders hiesse  Anne Knutsen zum Tür [MASK],,4.329165914640498e-09
anders hiesse  Anne Knutsen zum Tür  [MASK],Wäre,3.4101230284022677e-08
hiesse  Anne Knutsen zum Tür  Wäre [MASK],sie,8.03302555141272e-06
 Anne Knutsen zum Tür  Wäre sie [MASK],dann,0.0008364815730601549
Anne Knutsen zum Tür  Wäre sie dann [MASK],auch,0.0016462495550513268
Knutsen zum Tür  Wäre sie dann auch [MASK],eine,0.00027740857331082225
zum Tür  Wäre sie dann auch eine [MASK],andere,0.00829400960355997
Tür  Wäre sie dann auch eine andere [MASK],,1.6707548677885597e-09
 Wäre sie dann auch eine andere  [MASK],Plötzlich,2.0431343727977946e-07
Wäre sie dann auch eine andere  Plötzlich [MASK],fiel,1.2496943213591294e-07
sie dann auch eine andere  Plötzlich fiel [MASK],ihr,6.363703141687438e-05
dann auch eine andere  Plötzlich fiel ihr [MASK],ein,0.009488636627793312
auch eine andere  Plötzlich fiel ihr ein [MASK],,1.0426718377587463e-09
eine andere  Plötzlich fiel ihr ein  [MASK],dass,4.573586465994595e-06
andere  Plötzlich fiel ihr ein  dass [MASK],ihr,0.0013229874894022942
 Plötzlich fiel ihr ein  dass ihr [MASK],Vater,0.007380779832601547
Plötzlich fiel ihr ein  dass ihr Vater [MASK],sie,0.0006166285602375865
fiel ihr ein  dass ihr Vater sie [MASK],zuerst,0.0003194393066223711
ihr ein  dass ihr Vater sie zuerst [MASK],gern,0.001026276033371687
ein  dass ihr Vater sie zuerst gern [MASK],Susanne,1.1649420230241958e-05
 dass ihr Vater sie zuerst gern Susanne [MASK],genannt,0.007913067005574703
dass ihr Vater sie zuerst gern Susanne genannt [MASK],hätte,0.26466313004493713
ihr Vater sie zuerst gern Susanne genannt hätte [MASK],,8.013432761799777e-07
Vater sie zuerst gern Susanne genannt hätte  [MASK],Sofie,1.8844220406322165e-08
sie zuerst gern Susanne genannt hätte  Sofie [MASK],,2.3637396679987432e-06
zuerst gern Susanne genannt hätte  Sofie  [MASK],versuchte,1.126750817093125e-06
gern Susanne genannt hätte  Sofie  versuchte [MASK],sich,6.427456537494436e-05
Susanne genannt hätte  Sofie  versuchte sich [MASK],auszumalen,0.00010332137026125565
genannt hätte  Sofie  versuchte sich auszumalen [MASK],wie,8.537209214409813e-05
hätte  Sofie  versuchte sich auszumalen wie [MASK],es,0.0005553633091039956
 Sofie  versuchte sich auszumalen wie es [MASK],wäre,0.004511934705078602
Sofie  versuchte sich auszumalen wie es wäre [MASK],,6.613274194933183e-07
 versuchte sich auszumalen wie es wäre  [MASK],wenn,0.00028348175692372024
versuchte sich auszumalen wie es wäre  wenn [MASK],sie,0.013634256087243557
sich auszumalen wie es wäre  wenn sie [MASK],die,0.0023554612416774035
auszumalen wie es wäre  wenn sie die [MASK],Hand,0.0004889295669272542
wie es wäre  wenn sie die Hand [MASK],ausstreckte,0.0007392540574073792
es wäre  wenn sie die Hand ausstreckte [MASK],,1.7686095077351638e-07
wäre  wenn sie die Hand ausstreckte  [MASK],und,0.0007874949369579554
 wenn sie die Hand ausstreckte  und [MASK],sich,0.0023750176187604666
wenn sie die Hand ausstreckte  und sich [MASK],als,0.0010967582929879427
sie die Hand ausstreckte  und sich als [MASK],Susanne,2.242005939478986e-05
die Hand ausstreckte  und sich als Susanne [MASK],Amundsen,6.892214514664374e-06
Hand ausstreckte  und sich als Susanne Amundsen [MASK],vorstellte,8.134836389217526e-05
ausstreckte  und sich als Susanne Amundsen vorstellte [MASK],,1.0590271131150075e-06
